   PID TTY      STAT   TIME COMMAND
  1542 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec_spaw/1
  1581 ?        Sl     0:00 /usr/lib/dconf/dconf-service
  2166 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
  2277 ?        S      0:06 [kworker/0:2]
  2644 ?        Sl     0:15 /usr/lib/gnome-terminal/gnome-terminal-server
  2647 ?        S      0:00 gnome-pty-helper
  3299 ?        S      0:00 [kworker/u256:1]
  3362 pts/1    Ss     0:00 bash
  3522 pts/1    S+     0:00 script
  3523 pts/1    S+     0:00 script
  3524 pts/0    Ss     0:00 bash -i
  3695 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
  4248 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
  4708 ?        S      0:00 [kworker/1:2]
  4927 ?        S      0:00 [kworker/1:1]
  5271 ?        S      0:00 [kworker/u256:2]
  5422 ?        S      0:00 [kworker/0:1]
  5431 ?        S      0:00 [kworker/1:0]
  5459 ?        S      0:00 [kworker/0:0]
  5464 pts/0    R+     0:00 ps -ax
